id,text,cluster,category
58,Whole Wide World - A’me Lorain,9,Alternative and Indie Playlist
59,Feels Good - Tony! Toni! Tone!,0,R&B and Soul Vibes
60,Sending All My Love - Linear,1,Dance and Electronic Hits
61,Here And Now - Luther Vandross,7,R&B and Soul Vibes
62,How Can We Be Lovers - Michael Bolton,7,Soft Rock and Ballads
63,Escapade - Janet Jackson,5,Nostalgic 90s Tunes
64,Oh Girl - Paul Young,9,Pop and Rock Classics
65,Opposites Attract - Paula Abdul and The Wild Pair,1,Dance and Electronic Hits
66,Praying For Time - George Michael,7,Pop and Rock Classics
67,Back To Life (HOWEVER Do You Want Me) - Soul II Soul featuring Caron Wheeler,8,R&B and Soul Vibes
68,Cradle Of Love - Billy Idol,7,Pop and Rock Classics
69,Downtown Train - Rod Stewart,7,Soft Rock and Ballads
70,More Than Words Can Say - Alias,3,Soft Rock and Ballads
71,What Kind Of Man Would I Be? - Chicago,0,Pop and Rock Classics
72,Rhythm Nation - Janet Jackson,5,Nostalgic 90s Tunes
73,All Or Nothing - Milli Vanilli,9,Nostalgic 90s Tunes
74,Don’t Know Much - Linda Ronstadt and Aaron Neville,5,Nostalgic 90s Tunes
75,Blame It On The Rain - Milli Vanilli,4,Dance and Electronic Hits
76,Have You Seen Her - MC Hammer,1,Hip-Hop and Rap Anthems
77,I Go To Extremes - Billy Joel,6,Pop and Rock Classics
78,Rub You The Right Way - Johnny Gill,0,R&B and Soul Vibes
79,Here We Are - Gloria Estefan,5,Nostalgic 90s Tunes
80,Just Between You And Me - Lou Gramm,6,Pop and Rock Classics
81,When I’m Back On My Feet Again - Michael Bolton,7,Emotional and Heartfelt Songs
82,Janie’s Got A Gun - Aerosmith,8,Pop and Rock Classics
83,Whip Appeal - Babyface,2,R&B and Soul Vibes
84,Thieves In The Temple - Prince,7,R&B and Soul Vibes
85,Two To Make It Right - Seduction,1,Dance and Electronic Hits
86,With Every Beat Of My Heart - Taylor Dayne,5,Emotional and Heartfelt Songs
87,Giving You The Benefit - Pebbles,3,R&B and Soul Vibes
88,I Wanna Be Rich - Calloway,2,Hip-Hop and Rap Anthems
89,If Wishes Came True - Sweet Sensation,1,Dance and Electronic Hits
90,Price Of Love - Bad English,3,Soft Rock and Ballads
91,We Can’t Go Wrong - The Cover Girls,1,Dance and Electronic Hits
92,Make You Sweat (#14) - Keith Sweat,6,R&B and Soul Vibes
93,This One’s For The Children - New Kids on the Block,2,R&B and Soul Vibes
94,She Ain’t Worth It - Glenn Medeiros and Bobby Brown,1,Dance and Electronic Hits
95,Girls Nite Out - Tyler Collins,6,R&B and Soul Vibes
96,C’mon And Get My Love - D Mob featuring Cathy Dennis,8,Dance and Electronic Hits
97,(CAN’T Live Without Your) Love And Affection - Nelson,7,Emotional and Heartfelt Songs
98,I’ll Be Your Everything - Tommy Page,6,Emotional and Heartfelt Songs
99,I’ll Be Your Shelter - Taylor Dayne,6,Emotional and Heartfelt Songs
100,Romantic - Karyn White,1,R&B and Soul Vibes
101,Baby Baby - Amy Grant,1,Pop and Rock Classics
102,Losing My Religion - R.E.M.,3,Alternative and Indie Playlist
103,The First Time - Surface,4,R&B and Soul Vibes
104,Joyride - Roxette,3,Pop and Rock Classics
105,Rush Rush - Paula Abdul,1,Pop and Rock Classics
106,Wicked Game - Chris Isaak,8,Emotional and Heartfelt Songs
107,Crazy - Seal,2,Emotional and Heartfelt Songs
108,Wind Of Change - Scorpions,2,Alternative and Indie Playlist
109,Enter Sandman - Metallica,8,Emotional and Heartfelt Songs
110,It Ain’t Over ‘TIL It’s Over - Lenny Kravitz,0,Pop and Rock Classics
111,More Than Words - Extreme,3,Soft Rock and Ballads
112,Power Of Love/Love Power - Luther Vandross,7,R&B and Soul Vibes
113,Summertime - DJ Jazzy Jeff & The Fresh Prince,8,Hip-Hop and Rap Anthems
114,Play That Funky Music - Vanilla Ice,8,Hip-Hop and Rap Anthems
115,Someday - Mariah Carey,5,R&B and Soul Vibes
116,Disappear - INXS,3,Alternative and Indie Playlist
117,Good Vibrations - Marky Mark and the Funky Bunch featuring Loleatta Holloway,8,Dance and Electronic Hits
118,Shiny Happy People - R.E.M.,2,Pop and Rock Classics
119,High Enough - Damn Yankees,4,Soft Rock and Ballads
120,Gonna Make You Sweat (EVERYBODY Dance Now) - C+C Music Factory,8,Dance and Electronic Hits
121,Something To Talk About - Bonnie Raitt,1,Pop and Rock Classics
122,Round And Round - Tevin Campbell,4,R&B and Soul Vibes
123,Cream - Prince and The New Power Generation,3,R&B and Soul Vibes
124,Emotions - Mariah Carey,5,R&B and Soul Vibes
125,Piece Of My Heart - Tara Kemp,1,Pop and Rock Classics
126,Temptation - Corina,8,Dance and Electronic Hits
127,Freedom 90 - George Michael,7,Nostalgic 90s Tunes
128,Show Me The Way - Styx,2,Soft Rock and Ballads
129,O.P.P. - Naughty by Nature,2,Hip-Hop and Rap Anthems
130,Unbelievable - EMF,2,Alternative and Indie Playlist
131,(EVERYTHING I Do) I Do It For You - Bryan Adams,6,Emotional and Heartfelt Songs
132,I Saw Red - Warrant,3,Pop and Rock Classics
133,Signs - Tesla,3,Pop and Rock Classics
134,I Touch Myself - Divinyls,6,Nostalgic 90s Tunes
135,I’ll Be There - The Escape Club,6,Emotional and Heartfelt Songs
136,Get Here - Oleta Adams,6,Emotional and Heartfelt Songs
137,Now That We Found Love - Heavy D & the Boyz,2,Hip-Hop and Rap Anthems
138,All This Time - Sting,6,Emotional and Heartfelt Songs
139,I Wanna Sex You Up - Color Me Badd,9,R&B and Soul Vibes
140,Love Of A Lifetime - FireHouse,7,Power Ballads
141,Motownphilly - Boyz II Men,8,R&B and Soul Vibes
142,Sadeness (PART I) - Enigma,7,Dance and Electronic Hits
143,The One And Only - Chesney Hawkes,1,Nostalgic 90s Tunes
144,This House - Tracie Spencer,4,R&B and Soul Vibes
145,Silent Lucidity - Queensrÿche,1,Soft Rock and Ballads
146,Impulsive - Wilson Phillips,2,Pop and Rock Classics
147,One More Try - Timmy T,4,Emotional and Heartfelt Songs
148,The Way You Do The Things You Do - UB40,3,R&B and Soul Vibes
149,Where Does My Heart Beat Now - Celine Dion,5,Emotional and Heartfelt Songs
150,Don’t Cry - Guns N’ Roses,6,Pop and Rock Classics
151,Here I Am (COME And Take Me) - UB40,2,R&B and Soul Vibes
152,Love Takes Time - Mariah Carey,5,Emotional and Heartfelt Songs
153,Miles Away - Winger,4,Soft Rock and Ballads
154,P.A.S.S.I.O.N. - Rythm Syndicate,3,Dance and Electronic Hits
155,"Right Here, Right Now - Jesus Jones",6,Alternative and Indie Playlist
156,Coming Out Of The Dark - Gloria Estefan,5,Emotional and Heartfelt Songs
157,Do Anything - Natural Selection,3,Dance and Electronic Hits
158,Strike It Up - Black Box,4,Dance and Electronic Hits
159,Tom’s Diner - DNA featuring Suzanne Vega,1,Alternative and Indie Playlist
160,All The Man That I Need - Whitney Houston,5,Emotional and Heartfelt Songs
161,I Don’t Wanna Cry - Mariah Carey,5,Emotional and Heartfelt Songs
162,I’m Your Baby Tonight - Whitney Houston,5,R&B and Soul Vibes
163,Around The Way Girl - LL Cool J,9,Hip-Hop and Rap Anthems
164,From A Distance - Bette Midler,4,Emotional and Heartfelt Songs
165,Something To Believe In - Poison,3,Pop and Rock Classics
166,Hold You Tight - Tara Kemp,1,Dance and Electronic Hits
167,Hole Hearted - Extreme,3,Pop and Rock Classics
168,Sensitivity - Ralph Tresvant,3,R&B and Soul Vibes
169,I Like The Way (THE Kissing Game) - Hi-Five,9,R&B and Soul Vibes
170,Just Another Dream - Cathy Dennis,1,Dance and Electronic Hits
171,After The Rain - Nelson,7,Soft Rock and Ballads
172,Place In This World - Michael W. Smith,7,Emotional and Heartfelt Songs
173,Real Real Real - Jesus Jones,6,Alternative and Indie Playlist
174,Everybody Plays The Fool - Aaron Neville,7,Emotional and Heartfelt Songs
175,Fading Like A Flower (EVERY Time You Leave) - Roxette,1,Dance and Electronic Hits
176,Love Will Never Do (WITHOUT You) - Janet Jackson,5,R&B and Soul Vibes
177,Rhythm Of My Heart - Rod Stewart,7,Soft Rock and Ballads
178,The Motown Song - Rod Stewart,7,Nostalgic 90s Tunes
179,Justify My Love - Madonna,5,R&B and Soul Vibes
180,Things That Make You Go Hmmm… - C+C Music Factory,3,Dance and Electronic Hits
181,Can’t Stop This Thing We Started - Bryan Adams,6,Pop and Rock Classics
182,I’ve Been Thinking About You - Londonbeat,6,Dance and Electronic Hits
183,I Adore Mi Amor - Color Me Badd,9,R&B and Soul Vibes
184,Love Is A Wonderful Thing - Michael Bolton,7,Soft Rock and Ballads
185,Too Many Walls - Cathy Dennis,1,Dance and Electronic Hits
186,"Time, Love And Tenderness - Michael Bolton",7,Soft Rock and Ballads
187,Touch Me (ALL Night Long) - Cathy Dennis,1,Dance and Electronic Hits
188,Every Heartbeat - Amy Grant,5,Pop and Rock Classics
189,Here We Go (LET’S Rock N’ Roll) - C+C Music Factory featuring Freedom Williams & Zelma Davis,8,Dance and Electronic Hits
190,I’m Not In Love - Will to Power,4,Soft Rock and Ballads
191,Iesha - Another Bad Creation,3,R&B and Soul Vibes
192,The Promise Of A New Day - Paula Abdul,1,Dance and Electronic Hits
193,Rico Suave - Gerardo,9,Hip-Hop and Rap Anthems
194,Cry For Help - Rick Astley,6,Pop and Rock Classics
195,Because I Love You (THE Postman Song) - Stevie B,7,Emotional and Heartfelt Songs
196,3 A.M. Eternal - The KLF,2,Dance and Electronic Hits
197,I’ll Give All My Love To You - Keith Sweat,6,R&B and Soul Vibes
198,You’re In Love - Wilson Phillips,6,Pop and Rock Classics
199,I Can’t Wait Another Minute - Hi-Five,4,R&B and Soul Vibes
200,The One - Elton John,7,Emotional and Heartfelt Songs
201,One - U2,2,Pop and Rock Classics
202,Stay - Shakespears Sister,1,Pop and Rock Classics
203,Under The Bridge - Red Hot Chili Peppers,8,Alternative and Indie Playlist
204,Tennessee - Arrested Development,8,Hip-Hop and Rap Anthems
205,November Rain - Guns N’ Roses,7,Soft Rock and Ballads
206,Real Love - Mary J. Blige,5,R&B and Soul Vibes
207,Smells Like Teen Spirit - Nirvana,8,Alternative and Indie Playlist
208,Everything About You - Ugly Kid Joe,9,Alternative and Indie Playlist
209,Jump - Kris Kross,9,Hip-Hop and Rap Anthems
210,Jump Around - House of Pain,4,Hip-Hop and Rap Anthems
211,Please Don’t Go - KWS,3,Dance and Electronic Hits
212,I Wanna Love You - Jade,5,R&B and Soul Vibes
213,Life Is A Highway - Tom Cochrane,7,Emotional and Heartfelt Songs
214,Remember The Time - Michael Jackson,7,Pop and Rock Classics
215,All I Want - Toad the Wet Sprocket,8,Alternative and Indie Playlist
216,Bohemian Rhapsody - Queen,5,Pop and Rock Classics
217,Erotica - Madonna,5,Dance and Electronic Hits
218,Masterpiece - Atlantic Starr,7,Emotional and Heartfelt Songs
219,Rhythm Is A Dancer - Snap!,0,Dance and Electronic Hits
220,Baby Got Back - Sir Mix-a-Lot,8,Hip-Hop and Rap Anthems
221,Forever Love - Color Me Badd,7,R&B and Soul Vibes
222,Achy Breaky Heart - Billy Ray Cyrus,8,Country Melodies
223,Black Or White - Michael Jackson,5,Pop and Rock Classics
224,Tears In Heaven - Eric Clapton,7,Emotional and Heartfelt Songs
225,To Be With You - Mr. Big,6,Soft Rock and Ballads
226,Slow Motion - Color Me Badd,2,R&B and Soul Vibes
227,When A Man Loves A Woman - Michael Bolton,7,Emotional and Heartfelt Songs
228,End Of The Road - Boyz II Men,2,R&B and Soul Vibes
229,Save The Best For Last - Vanessa Williams,5,Pop and Rock Classics
230,Would I Lie To You? - Charles & Eddie,0,R&B and Soul Vibes
231,All 4 Love - Color Me Badd,9,Nostalgic 90s Tunes
232,I Can’t Dance - Genesis,8,Pop and Rock Classics
233,People Everyday - Arrested Development,3,Alternative and Indie Playlist
234,I’ll Be There - Mariah Carey featuring Trey Lorenz,5,Pop and Rock Classics
235,When I Look Into Your Eyes - FireHouse,7,Emotional and Heartfelt Songs
236,Beauty And The Beast - Celine Dion and Peabo Bryson,5,Pop and Rock Classics
237,Breakin’ My Heart (PRETTY Brown Eyes) - Mint Condition,8,R&B and Soul Vibes
238,Don’t Let The Sun Go Down On Me - George Michael and Elton John,7,Emotional and Heartfelt Songs
239,I Love Your Smile - Shanice,1,R&B and Soul Vibes
240,In The Closet - Michael Jackson,7,Pop and Rock Classics
241,Make It Happen - Mariah Carey,5,R&B and Soul Vibes
242,Hazard - Richard Marx,7,Soft Rock and Ballads
243,Hold On My Heart - Genesis,7,Soft Rock and Ballads
244,Rump Shaker - Wreckx-N-Effect,3,Hip-Hop and Rap Anthems
245,Wildside - Marky Mark and the Funky Bunch,0,Hip-Hop and Rap Anthems
246,Wishing On A Star - The Cover Girls,1,Dance and Electronic Hits
247,Finally - CeCe Peniston,4,Dance and Electronic Hits
248,Free Your Mind - En Vogue,9,R&B and Soul Vibes
249,Friday I’m In Love - The Cure,7,Alternative and Indie Playlist
250,If You Asked Me To - Celine Dion,5,Emotional and Heartfelt Songs
251,Just Another Day - Jon Secada,7,Emotional and Heartfelt Songs
252,No Son Of Mine - Genesis,8,Soft Rock and Ballads
253,The Best Things In Life Are Free - Luther Vandross and Janet Jackson featuring Bell Biv Devoe and Ralph Tresvant,5,R&B and Soul Vibes
254,Back To The Hotel - N2Deep,8,Hip-Hop and Rap Anthems
255,Come And Talk To Me - Jodeci,9,R&B and Soul Vibes
256,Damn I Wish I Was Your Lover - Sophie B. Hawkins,1,Pop and Rock Classics
257,Good For Me - Amy Grant,1,Pop and Rock Classics
258,Move This - Technotronic featuring Ya Kid K,2,Dance and Electronic Hits
259,Have You Ever Needed Someone So Bad - Def Leppard,3,Soft Rock and Ballads
260,Missing You Now - Michael Bolton featuring Kenny G,7,Soft Rock and Ballads
261,Set Adrift On Memory Bliss - P.M. Dawn,1,Nostalgic 90s Tunes
262,Too Funky - George Michael,8,Pop and Rock Classics
263,Baby-Baby-Baby - TLC,2,R&B and Soul Vibes
264,Mysterious Ways - U2,3,Alternative and Indie Playlist
265,This Used To Be My Playground - Madonna,5,Pop and Rock Classics
266,2 Legit 2 Quit - Hammer,3,Hip-Hop and Rap Anthems
267,Thinkin’ Back - Color Me Badd,4,R&B and Soul Vibes
268,Can’t Let Go - Mariah Carey,5,Soft Rock and Ballads
269,Giving Him Something He Can Feel - En Vogue,0,R&B and Soul Vibes
270,It’s So Hard To Say Goodbye To Yesterday - Boyz II Men,2,R&B and Soul Vibes
271,Take This Heart - Richard Marx,7,Pop and Rock Classics
272,Diamonds And Pearls - Prince and The New Power Generation,3,Pop and Rock Classics
273,Tell Me What You Want Me To Do - Tevin Campbell,6,R&B and Soul Vibes
274,Everything Changes - Kathy Troccoli,1,Emotional and Heartfelt Songs
275,Live And Learn - Joe Public,0,R&B and Soul Vibes
276,Warm It Up - Kris Kross,9,Hip-Hop and Rap Anthems
277,Humpin’ Around - Bobby Brown,6,R&B and Soul Vibes
278,Keep Coming Back - Richard Marx,7,Pop and Rock Classics
279,She’s Playing Hard To Get - Hi-Five,4,R&B and Soul Vibes
280,Do I Have To Say The Words? - Bryan Adams,6,Soft Rock and Ballads
281,We Got A Love Thang - CeCe Peniston,4,Dance and Electronic Hits
282,Keep On Walkin’ - CeCe Peniston,4,Dance and Electronic Hits
283,Uhh Ahh - Boyz II Men,2,R&B and Soul Vibes
284,Thought I’d Died And Gone To Heaven - Bryan Adams,6,Soft Rock and Ballads
285,Blowing Kisses In The Wind - Paula Abdul,1,Nostalgic 90s Tunes
286,Addams Groove - Hammer,2,Hip-Hop and Rap Anthems
287,Ain’t 2 Proud 2 Beg - TLC,4,R&B and Soul Vibes
288,I’m Too Sexy - Right Said Fred,2,Dance and Electronic Hits
289,Justified And Ancient - The KLF featuring Tammy Wynette,1,Dance and Electronic Hits
290,Sometimes Love Just Ain’t Enough - Patty Smyth and Don Henley,7,Soft Rock and Ballads
291,The Way I Feel About You - Karyn White,6,R&B and Soul Vibes
292,My Lovin’ (YOU’RE Never Gonna Get It) - En Vogue,9,R&B and Soul Vibes
293,Let’s Get Rocked - Def Leppard,8,Pop and Rock Classics
294,That’s What Love Is For - Amy Grant,1,Soft Rock and Ballads
295,If - Janet Jackson,5,R&B and Soul Vibes
296,Rain - Madonna,5,R&B and Soul Vibes
297,Alright - Kris Kross,9,Hip-Hop and Rap Anthems
298,It Was A Good Day - Ice Cube,2,Hip-Hop and Rap Anthems
299,Love Is - Vanessa Williams and Brian McKnight,5,R&B and Soul Vibes
300,7 - Prince and The New Power Generation,3,Nostalgic 90s Tunes
301,Again - Janet Jackson,5,R&B and Soul Vibes
302,I Will Always Love You - Whitney Houston,5,Emotional and Heartfelt Songs
303,Nuthin’ But A ‘G’ Thang - Dr. Dre,3,Hip-Hop and Rap Anthems
304,Angel - Jon Secada,9,Emotional and Heartfelt Songs
305,Freak Me - Silk,2,R&B and Soul Vibes
306,I’m Gonna Be (500 Miles) - The Proclaimers,6,Pop and Rock Classics
307,I Have Nothing - Whitney Houston,5,Emotional and Heartfelt Songs
308,Sweat (A La La La La Long) - Inner Circle,3,Hip-Hop and Rap Anthems
309,Ordinary World - Duran Duran,9,Emotional and Heartfelt Songs
310,Two Princes - Spin Doctors,3,Alternative and Indie Playlist
311,Bed Of Roses - Bon Jovi,7,Soft Rock and Ballads
312,Insane In The Brain - Cypress Hill,8,Hip-Hop and Rap Anthems
313,Layla - Eric Clapton,7,Soft Rock and Ballads
314,Show Me Love - Robin S.,7,Dance and Electronic Hits
315,Baby I’m Yours - Shai,9,R&B and Soul Vibes
316,Rhythm Is A Dancer - Snap!,0,Dance and Electronic Hits
317,Come Undone - Duran Duran,8,Nostalgic 90s Tunes
318,Runaway Train - Soul Asylum,8,Alternative and Indie Playlist
319,Bad Boys - Inner Circle,8,Nostalgic 90s Tunes
320,Faithful - Go West,6,Pop and Rock Classics
321,Hip Hop Hooray - Naughty by Nature,8,Hip-Hop and Rap Anthems
322,To Love Somebody - Michael Bolton,7,Pop and Rock Classics
323,I Get Around - 2Pac,3,Hip-Hop and Rap Anthems
324,Connected - Stereo MC’s,4,Dance and Electronic Hits
325,A Whole New World - Peabo Bryson and Regina Belle,1,Emotional and Heartfelt Songs
326,Cryin’ - Aerosmith,6,Pop and Rock Classics
327,More And More - Captain Hollywood Project,3,Dance and Electronic Hits
328,The River Of Dreams - Billy Joel,7,Emotional and Heartfelt Songs
329,Walking On Broken Glass - Annie Lennox,1,Pop and Rock Classics
330,Hey Mr. D.J. - Zhané,3,R&B and Soul Vibes
331,Informer - Snow,2,Hip-Hop and Rap Anthems
332,Knockin’ Da Boots - H-Town,2,R&B and Soul Vibes
333,Weak - SWV,3,R&B and Soul Vibes
334,When She Cries - Restless Heart,1,Country Melodies
335,Get Away - Bobby Brown,6,Hip-Hop and Rap Anthems
336,I Got A Man - Positive K,3,Hip-Hop and Rap Anthems
337,Dre Day - Dr. Dre featuring Snoop Doggy Dogg,8,Hip-Hop and Rap Anthems
338,Have I Told You Lately - Rod Stewart,6,Soft Rock and Ballads
339,If I Ever Fall In Love - Shai,9,R&B and Soul Vibes
340,Good Enough - Bobby Brown,6,R&B and Soul Vibes
341,One Last Cry - Brian McKnight,7,Emotional and Heartfelt Songs
342,Rebirth Of Slick (COOL Like Dat) - Digable Planets,8,Hip-Hop and Rap Anthems
343,Who Is It - Michael Jackson,7,Pop and Rock Classics
344,Whoomp! (THERE It Is) - Tag Team,3,Hip-Hop and Rap Anthems
345,Anniversary - Tony! Toni! Toné!,0,R&B and Soul Vibes
346,Another Sad Love Song - Toni Braxton,5,R&B and Soul Vibes
347,Love Is On The Way - Saigon Kick,7,Emotional and Heartfelt Songs
348,Slam - Onyx,4,Hip-Hop and Rap Anthems
349,Dreamlover - Mariah Carey,5,R&B and Soul Vibes
350,Livin’ On The Edge - Aerosmith,6,Pop and Rock Classics
351,Forever In Love - Kenny G,7,Emotional and Heartfelt Songs
352,Ditty - Paperboy,2,Hip-Hop and Rap Anthems
353,Here We Go Again! - Portrait,4,Hip-Hop and Rap Anthems
354,Three Little Pigs - Green Jellÿ,2,Alternative and Indie Playlist
355,Two Steps Behind - Def Leppard,3,Soft Rock and Ballads
356,Lately - Jodeci,9,R&B and Soul Vibes
357,Mr. Wendal - Arrested Development,3,Hip-Hop and Rap Anthems
358,Boom! Shake The Room - DJ Jazzy Jeff & The Fresh Prince,8,Hip-Hop and Rap Anthems
359,What About Your Friends - TLC,3,R&B and Soul Vibes
360,Deeper And Deeper - Madonna,5,Dance and Electronic Hits
361,Will You Be There - Michael Jackson,6,Emotional and Heartfelt Songs
362,Don’t Walk Away - Jade,6,R&B and Soul Vibes
363,I’d Die Without You - P.M. Dawn,2,Emotional and Heartfelt Songs
364,I’m So Into You - SWV,2,R&B and Soul Vibes
365,Comforter - Shai,1,R&B and Soul Vibes
366,How Do You Talk To An Angel - The Heights,4,Soft Rock and Ballads
367,I Don’t Wanna Fight - Tina Turner,6,Emotional and Heartfelt Songs
368,What’s Up? - 4 Non Blondes,3,Alternative and Indie Playlist
369,If I Had No Loot - Tony! Toni! Toné!,0,R&B and Soul Vibes
370,Can’t Help Falling In Love - UB40,7,Nostalgic 90s Tunes
371,Reason To Believe - Rod Stewart,7,Nostalgic 90s Tunes
372,Do You Believe In Us - Jon Secada,3,Alternative and Indie Playlist
373,In The Still Of The Nite - Boyz II Men,4,R&B and Soul Vibes
374,"Give It Up, Turn It Loose - En Vogue",4,R&B and Soul Vibes
375,Saving Forever For You - Shanice,1,Emotional and Heartfelt Songs
376,Looking Through Patient Eyes - P.M. Dawn,1,R&B and Soul Vibes
377,Dazzey Duks - Duice,2,Hip-Hop and Rap Anthems
378,The Right Kind Of Love - Jeremy Jordan,7,Nostalgic 90s Tunes
379,Right Here (HUMAN Nature Remix) - SWV,2,R&B and Soul Vibes
380,"Whoot, There It Is - 95 South",4,Hip-Hop and Rap Anthems
381,I’m Every Woman - Whitney Houston,5,R&B and Soul Vibes
382,Little Miss Can’t Be Wrong - Spin Doctors,4,Nostalgic 90s Tunes
383,Nothin’ My Love Can’t Fix - Joey Lawrence,6,Nostalgic 90s Tunes
384,Shoop (#5*) - Salt N’ Pepa,9,Hip-Hop and Rap Anthems
385,Cat’s In The Cradle - Ugly Kid Joe,7,Alternative and Indie Playlist
386,That’s What Love Can Do - Boy Krazy,2,Dance and Electronic Hits
387,I’ll Never Get Over You (GETTING Over Me) - Exposé,6,Nostalgic 90s Tunes
388,That’s The Way Love Goes - Janet Jackson,5,R&B and Soul Vibes
389,Stay - Eternal,4,R&B and Soul Vibes
390,Linger - The Cranberries,1,Alternative and Indie Playlist
391,If You Go - Jon Secada,6,Nostalgic 90s Tunes
392,The Sign - Ace of Base,3,Dance and Electronic Hits
393,I Miss You - Aaron Hall,6,R&B and Soul Vibes
394,What Is Love - Haddaway,3,Dance and Electronic Hits
395,Always - Bon Jovi,9,Pop and Rock Classics
396,Always - Erasure,3,Dance and Electronic Hits
397,Crazy - Aerosmith,6,Nostalgic 90s Tunes
398,Again - Janet Jackson,5,R&B and Soul Vibes
399,All That She Wants - Ace of Base,1,Dance and Electronic Hits
400,Anything - SWV,3,R&B and Soul Vibes
401,Streets Of Philadelphia - Bruce Springsteen,7,Emotional and Heartfelt Songs
402,The Power Of Love - Céline Dion,5,Emotional and Heartfelt Songs
403,I Can See Clearly Now - Jimmy Cliff,6,Emotional and Heartfelt Songs
404,Gin And Juice - Snoop Doggy Dogg,8,Hip-Hop and Rap Anthems
405,Regulate - Warren G featuring Nate Dogg,8,Hip-Hop and Rap Anthems
406,Hero - Mariah Carey,5,Emotional and Heartfelt Songs
407,Mr. Vain - Culture Beat,2,Dance and Electronic Hits
408,Loser - Beck,9,Alternative and Indie Playlist
409,Shoop - Salt-n-Pepa,3,Hip-Hop and Rap Anthems
410,"Baby, I Love Your Way - Big Mountain",6,Emotional and Heartfelt Songs
411,Shine - Collective Soul,8,Alternative and Indie Playlist
412,So Much In Love - All-4-One,9,R&B and Soul Vibes
413,Keep Ya Head Up - 2Pac,2,Hip-Hop and Rap Anthems
